PK_UID,Regione,Nome,Siglaprov,Siglareg,Codistat,ucs19,c1_19,c2_19,c3_19
262318,TOSCANA,FIRENZE,FI,RT,048017,122,1,12,122
262321,TOSCANA,FIRENZE,FI,RT,048017,1121,1,11,112
262351,TOSCANA,FIRENZE,FI,RT,048017,210,2,21,210
262368,TOSCANA,FIRENZE,FI,RT,048017,111,1,11,111
262376,TOSCANA,FIRENZE,FI,RT,048017,311,3,31,311
262412,TOSCANA,FIRENZE,FI,RT,048017,210,2,21,210
262449,TOSCANA,FIRENZE,FI,RT,048017,112,1,11,112
262503,TOSCANA,FIRENZE,FI,RT,048017,210,2,21,210
262587,TOSCANA,FIRENZE,FI,RT,048017,223,2,22,223
262591,TOSCANA,FIRENZE,FI,RT,048017,112,1,11,112
262634,TOSCANA,FIRENZE,FI,RT,048017,223,2,22,223
262744,TOSCANA,FIRENZE,FI,RT,048017,141,1,14,141
262760,TOSCANA,FIRENZE,FI,RT,048017,141,1,14,141
262779,TOSCANA,FIRENZE,FI,RT,048017,111,1,11,111
262800,TOSCANA,FIRENZE,FI,RT,048017,223,2,22,223
262808,TOSCANA,FIRENZE,FI,RT,048017,111,1,11,111
263083,TOSCANA,FIRENZE,FI,RT,048017,142,1,14,142
263103,TOSCANA,FIRENZE,FI,RT,048017,112,1,11,112
263169,TOSCANA,FIRENZE,FI,RT,048017,210,2,21,210
263196,TOSCANA,FIRENZE,FI,RT,048017,324,3,32,324
263285,TOSCANA,FIRENZE,FI,RT,048017,223,2,22,223
263288,TOSCANA,FIRENZE,FI,RT,048017,210,2,21,210
263295,TOSCANA,FIRENZE,FI,RT,048017,1221,1,12,122
263334,TOSCANA,FIRENZE,FI,RT,048017,231,2,23,231
263364,TOSCANA,FIRENZE,FI,RT,048017,223,2,22,223
263445,TOSCANA,FIRENZE,FI,RT,048017,112,1,11,112
263585,TOSCANA,FIRENZE,FI,RT,048017,141,1,14,141
263729,TOSCANA,FIRENZE,FI,RT,048017,223,2,22,223
263741,TOSCANA,FIRENZE,FI,RT,048017,111,1,11,111
263749,TOSCANA,FIRENZE,FI,RT,048017,112,1,11,112
263813,TOSCANA,FIRENZE,FI,RT,048017,222,2,22,222
263892,TOSCANA,FIRENZE,FI,RT,048017,311,3,31,311
264046,TOSCANA,FIRENZE,FI,RT,048017,141,1,14,141
264171,TOSCANA,FIRENZE,FI,RT,048017,222,2,22,222
264566,TOSCANA,FIRENZE,FI,RT,048017,223,2,22,223
264577,TOSCANA,FIRENZE,FI,RT,048017,1121,1,11,112
264764,TOSCANA,FIRENZE,FI,RT,048017,121,1,12,121
264950,TOSCANA,FIRENZE,FI,RT,048017,111,1,11,111
264989,TOSCANA,FIRENZE,FI,RT,048017,142,1,14,142
265005,TOSCANA,FIRENZE,FI,RT,048017,141,1,14,141
265008,TOSCANA,FIRENZE,FI,RT,048017,111,1,11,111
265012,TOSCANA,FIRENZE,FI,RT,048017,223,2,22,223
265069,TOSCANA,FIRENZE,FI,RT,048017,141,1,14,141
265132,TOSCANA,FIRENZE,FI,RT,048017,111,1,11,111
265265,TOSCANA,FIRENZE,FI,RT,048017,111,1,11,111
265271,TOSCANA,FIRENZE,FI,RT,048017,142,1,14,142
265284,TOSCANA,FIRENZE,FI,RT,048017,311,3,31,311
265314,TOSCANA,FIRENZE,FI,RT,048017,223,2,22,223
265634,TOSCANA,FIRENZE,FI,RT,048017,210,2,21,210
265779,TOSCANA,FIRENZE,FI,RT,048017,112,1,11,112
266055,TOSCANA,FIRENZE,FI,RT,048017,111,1,11,111
266062,TOSCANA,FIRENZE,FI,RT,048017,223,2,22,223
266348,TOSCANA,FIRENZE,FI,RT,048017,112,1,11,112
266357,TOSCANA,FIRENZE,FI,RT,048017,141,1,14,141
266460,TOSCANA,FIRENZE,FI,RT,048017,324,3,32,324
266479,TOSCANA,FIRENZE,FI,RT,048017,223,2,22,223
266575,TOSCANA,FIRENZE,FI,RT,048017,311,3,31,311
266755,TOSCANA,FIRENZE,FI,RT,048017,241,2,24,241
266771,TOSCANA,FIRENZE,FI,RT,048017,324,3,32,324
266838,TOSCANA,FIRENZE,FI,RT,048017,111,1,11,111
266885,TOSCANA,FIRENZE,FI,RT,048017,111,1,11,111
266919,TOSCANA,FIRENZE,FI,RT,048017,112,1,11,112
267216,TOSCANA,FIRENZE,FI,RT,048017,223,2,22,223
267384,TOSCANA,FIRENZE,FI,RT,048017,112,1,11,112
267386,TOSCANA,FIRENZE,FI,RT,048017,210,2,21,210
267443,TOSCANA,FIRENZE,FI,RT,048017,141,1,14,141
267499,TOSCANA,FIRENZE,FI,RT,048017,210,2,21,210
267651,TOSCANA,FIRENZE,FI,RT,048017,112,1,11,112
267699,TOSCANA,FIRENZE,FI,RT,048017,112,1,11,112
268050,TOSCANA,FIRENZE,FI,RT,048017,242,2,24,242
268167,TOSCANA,FIRENZE,FI,RT,048017,111,1,11,111
268192,TOSCANA,FIRENZE,FI,RT,048017,111,1,11,111
268244,TOSCANA,FIRENZE,FI,RT,048017,111,1,11,111
268670,TOSCANA,FIRENZE,FI,RT,048017,223,2,22,223
268795,TOSCANA,FIRENZE,FI,RT,048017,112,1,11,112
268989,TOSCANA,FIRENZE,FI,RT,048017,141,1,14,141
269067,TOSCANA,FIRENZE,FI,RT,048017,141,1,14,141
269188,TOSCANA,FIRENZE,FI,RT,048017,121,1,12,121
269299,TOSCANA,FIRENZE,FI,RT,048017,121,1,12,121
269502,TOSCANA,FIRENZE,FI,RT,048017,231,2,23,231
269664,TOSCANA,FIRENZE,FI,RT,048017,111,1,11,111
269819,TOSCANA,FIRENZE,FI,RT,048017,133,1,13,133
269882,TOSCANA,FIRENZE,FI,RT,048017,210,2,21,210
269991,TOSCANA,FIRENZE,FI,RT,048017,141,1,14,141
270302,TOSCANA,FIRENZE,FI,RT,048017,111,1,11,111
270367,TOSCANA,FIRENZE,FI,RT,048017,511,5,51,511
270485,TOSCANA,FIRENZE,FI,RT,048017,141,1,14,141
270607,TOSCANA,FIRENZE,FI,RT,048017,324,3,32,324
270722,TOSCANA,FIRENZE,FI,RT,048017,141,1,14,141
270727,TOSCANA,FIRENZE,FI,RT,048017,133,1,13,133
270807,TOSCANA,FIRENZE,FI,RT,048017,511,5,51,511
270873,TOSCANA,FIRENZE,FI,RT,048017,141,1,14,141
270898,TOSCANA,FIRENZE,FI,RT,048017,511,5,51,511
270923,TOSCANA,FIRENZE,FI,RT,048017,324,3,32,324
271010,TOSCANA,FIRENZE,FI,RT,048017,141,1,14,141
271038,TOSCANA,FIRENZE,FI,RT,048017,324,3,32,324
271066,TOSCANA,FIRENZE,FI,RT,048017,324,3,32,324
271103,TOSCANA,FIRENZE,FI,RT,048017,511,5,51,511
271130,TOSCANA,FIRENZE,FI,RT,048017,324,3,32,324
271158,TOSCANA,FIRENZE,FI,RT,048017,141,1,14,141
271225,TOSCANA,FIRENZE,FI,RT,048017,324,3,32,324
271246,TOSCANA,FIRENZE,FI,RT,048017,511,5,51,511
271249,TOSCANA,FIRENZE,FI,RT,048017,111,1,11,111
271285,TOSCANA,FIRENZE,FI,RT,048017,324,3,32,324
271328,TOSCANA,FIRENZE,FI,RT,048017,111,1,11,111
271380,TOSCANA,FIRENZE,FI,RT,048017,324,3,32,324
271507,TOSCANA,FIRENZE,FI,RT,048017,223,2,22,223
271530,TOSCANA,FIRENZE,FI,RT,048017,111,1,11,111
271690,TOSCANA,FIRENZE,FI,RT,048017,141,1,14,141
